시도별,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
시도별,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내,아내
전국,24.78,24.84,24.93,25.01,25.14,25.32,25.45,25.71,26.02,26.29,26.49,26.78,27.01,27.27,27.52,27.72,27.79,28.09,28.32,28.71,28.91,29.14,29.41,29.59,29.81,29.96,30.11,30.24,30.40,30.59,30.78,31.08,31.26
